Player,matches,innings,not_out,runs,highest_score,avg,strike_rate,100s,50s,0s
SA Abbott,1.0,0,0.0,0,0,0,0.0,0,0,0
Abdullah Shafique,8.0,8,0.0,336,113,42,93.33,1,3,1
CN Ackermann,9.0,9,0.0,216,69,24,82.12,0,1,1
Agha Salman,3.0,1,0.0,51,51,51,113.33,0,1,0
MM Ali,6.0,6,0.0,95,42,15.83,74.8,0,0,0
KIC Asalanka,9.0,8,0.0,288,108,36,85.2,1,1,0
R Ashwin,1.0,0,0.0,0,0,0,0.0,0,0,0
AAP Atkinson,3.0,3,1.0,37,35,18.5,160.86,0,0,1
Azmatullah Omarzai,9.0,8,3.0,353,97*,70.6,97.78,0,3,0
Babar Azam,9.0,9,1.0,320,74,40,82.9,0,4,0
JM Bairstow,9.0,9,0.0,215,59,23.88,88.47,0,2,1
W Barresi,4.0,4,0.0,83,41,20.75,74.1,0,0,0
T Bavuma,7.0,7,0.0,145,35,20.71,75.12,0,0,0
TA Boult,9.0,3,2.0,19,10*,19,82.6,0,0,0
HC Brook,6.0,6,0.0,169,66,28.16,112.66,0,1,0
JJ Bumrah,9.0,2,1.0,17,16,17,65.38,0,0,0
JC Buttler,9.0,9,0.0,138,43,15.33,97.18,0,0,0
AT Carey,1.0,1,0.0,0,0,0,0.0,0,0,1
PVD Chameera,4.0,4,0.0,6,4,1.5,15.38,0,0,1
MS Chapman,7.0,5,1.0,82,39,20.5,124.24,0,0,0
G Coetzee,7.0,3,0.0,35,22,11.66,89.74,0,0,0
DP Conway,9.0,9,1.0,359,152*,44.87,102.27,1,0,1
PJ Cummins,9.0,7,3.0,114,37,28.5,72.61,0,0,0
SM Curran,3.0,3,0.0,35,14,11.66,61.4,0,0,0
Q de Kock,9.0,9,0.0,591,174,65.66,109.24,4,0,0
BFW de Leede,9.0,9,0.0,139,67,15.44,69.84,0,1,0
DM de Silva,8.0,7,0.0,140,34,20,76.08,0,0,0
A Dutt,9.0,9,3.0,70,23*,11.66,80.45,0,0,0
SA Edwards,9.0,9,2.0,259,78*,37,86.91,0,2,2
SA Engelbrecht,8.0,8,0.0,300,70,37.5,66.66,0,2,0
Fakhar Zaman,4.0,4,1.0,220,126*,73.33,122.9,1,1,0
Fazalhaq Farooqi,6.0,3,2.0,2,2*,2,22.22,0,0,1
LH Ferguson,6.0,2,1.0,1,1,1,16.66,0,0,0
C Green,3.0,3,0.0,63,47,21,75.9,0,0,0
Haris Rauf,9.0,5,2.0,53,35,17.66,117.77,0,0,0
Hasan Ali,6.0,3,0.0,20,12,6.66,71.42,0,0,1
Hasan Mahmud,2.0,1,0.0,15,15,15,60.0,0,0,0
Hashmatullah Shahidi,9.0,9,3.0,310,80,51.66,73.11,0,3,0
JR Hazlewood,9.0,5,3.0,4,2,2,80.0,0,0,1
TM Head,4.0,4,0.0,130,109,32.5,144.44,1,0,1
MADI Hemantha,2.0,2,1.0,4,4*,4,100.0,0,0,1
RR Hendricks,2.0,2,0.0,97,85,48.5,103.19,0,1,0
MJ Henry,7.0,4,2.0,19,10*,9.5,86.36,0,0,1
Ibrahim Zadran,9.0,9,1.0,376,129*,47,76.26,1,1,0
Iftikhar Ahmed,9.0,8,2.0,142,40,23.66,115.44,0,0,0
Ikram Alikhil,7.0,3,1.0,89,58,44.5,88.11,0,1,0
Imam-ul-Haq,6.0,6,0.0,162,70,27,90.0,0,1,0
JP Inglis,8.0,7,0.0,131,58,18.71,110.08,0,1,1
Ishan Kishan,2.0,2,0.0,47,47,23.5,97.91,0,0,1
SS Iyer,9.0,9,3.0,421,128*,70.16,106.58,1,3,1
RA Jadeja,9.0,4,2.0,111,39*,55.5,115.62,0,0,0
M Jansen,8.0,7,3.0,157,75*,39.25,111.34,0,1,0
C Karunaratne,3.0,2,0.0,8,6,4,28.57,0,0,0
