team1,team2,venue,inning1_pred,inning2_pred,overs_inning1,overs_inning2
Sri Lanka,India,9.0,[329.],281.0,50.0,49.305555555555564
Afghanistan,Netherlands,1.0,[315.],280.0,50.0,49.305555555555564
New Zealand,Pakistan,4.0,[321.],289.0,50.0,49.305555555555564
England,Australia,7.0,[224.],276.0,46.86111111111111,49.305555555555564
India,South Africa,2.0,[347.],288.0,50.0,49.305555555555564
Bangladesh,Sri Lanka,0.0,[397.],289.0,50.0,49.305555555555564
Afghanistan,Australia,9.0,[233.],275.0,46.86111111111111,49.305555555555564
England,Netherlands,6.0,[309.],280.0,50.0,49.305555555555564
New Zealand,Sri Lanka,4.0,[368.],291.0,50.0,49.305555555555564
South Africa,Afghanistan,7.0,[327.],282.0,50.0,49.305555555555564
Australia,Bangladesh,6.0,[292.],280.0,49.305555555555564,49.305555555555564
England,Pakistan,2.0,[352.],289.0,50.0,49.305555555555564
India,Netherlands,4.0,[271.],280.0,49.305555555555564,49.305555555555564
