Team,Opposition,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Afghanistan,v Australia,2012-2023,4,0,4,0,0,0,0,0,0,0,100,0,-
Afghanistan,v Bangladesh,2014-2023,16,6,10,0,0,0,0,0,0.6,37.5,62.5,0,37.5
Afghanistan,v Canada,2010-2011,5,4,1,0,0,0,0,0,4,80,20,0,80
Afghanistan,v England,2015-2023,3,1,2,0,0,0,0,0,0.5,33.33,66.66,0,33.33
Afghanistan,v Hong Kong,2014-2018,2,1,1,0,0,0,0,0,1,50,50,0,50
Afghanistan,v India,2014-2023,4,0,3,0,1,0,0,0,0,0,75,0,12.5
Afghanistan,v Ireland,2010-2021,30,16,13,0,0,0,0,1,1.23,53.33,43.33,0,55.17
Afghanistan,v Kenya,2010-2013,6,4,2,0,0,0,0,0,2,66.66,33.33,0,66.66
Afghanistan,v Netherlands,2009-2023,10,8,2,0,0,0,0,0,4,80,20,0,80
Afghanistan,v New Zealand,2015-2023,3,0,3,0,0,0,0,0,0,0,100,0,-
Afghanistan,v Pakistan,2012-2023,8,1,7,0,0,0,0,0,0.142,12.5,87.5,0,12.5
Afghanistan,v Scotland,2009-2019,13,8,4,0,0,0,0,1,2,61.53,30.76,0,66.66
Afghanistan,v South Africa,2019-2023,2,0,2,0,0,0,0,0,0,0,100,0,-
Afghanistan,v Sri Lanka,2014-2023,12,4,7,0,0,0,0,1,0.571,33.33,58.33,0,36.36
Afghanistan,v United Arab Emirates,2014-2018,6,3,3,0,0,0,0,0,1,50,50,0,50
Afghanistan,v West Indies,2017-2019,9,3,5,0,0,0,0,1,0.6,33.33,55.55,0,37.5
Afghanistan,v Zimbabwe,2014-2022,28,18,10,0,0,0,0,0,1.8,64.28,35.71,0,64.28
Africa XI,v Asia XI,2005-2007,6,1,4,0,0,0,0,1,0.25,16.66,66.66,0,20
Asia XI,v Africa XI,2005-2007,6,4,1,0,0,0,0,1,4,66.66,16.66,0,80
