venue,won_after_bat_first,won_after_chase,first_inning_score,second_inning_score
"Narendra Modi Stadium, Ahmedabad",17,15,237,208
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,4,296,261
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,5,253,228
"Arun Jaitley Stadium, Delhi",16,16,239,208
"MA Chidambaram Stadium, Chepauk, Chennai",18,20,229,208
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,10,226,205
"Wankhede Stadium, Mumbai",17,16,248,199
"M Chinnaswamy Stadium, Bengaluru",16,23,240,215
"Eden Gardens, Kolkata",23,15,244,199
"Maharashtra Cricket Association Stadium, Pune",6,5,304,260
