team1,team2,venue
Sri Lanka,India,Wankhede Stadium
Afghanistan,Netherlands,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
New Zealand,Pakistan,M Chinnaswamy Stadium
England,Australia,Narendra Modi Stadium
India,South Africa,Eden Gardens
Bangladesh,Sri Lanka,Arun Jaitley Stadium
Afghanistan,Australia,Wankhede Stadium
England,Netherlands,Maharashtra Cricket Association Stadium
New Zealand,Sri Lanka,M Chinnaswamy Stadium
South Africa,Afghanistan,Narendra Modi Stadium
Australia,Bangladesh,Maharashtra Cricket Association Stadium
England,Pakistan,Eden Gardens
India,Netherlands,M Chinnaswamy Stadium
