Ranking,Team,Matches,Won,Lost,Tie,No Results,Points,Net Run Rate,Series Form,Next Match,For,Against
2,India,9,8,1,0,0,16,-0.8348729979740934,WWWWWLWW,"vs SL, SA, NED",1990.0/344.8111111111111,1534.0/497.91666666666663
1,South Africa,9,7,2,0,0,14,2.1067056282591263,LWWWWLW,"vs IND, AFG",2637.0/389.50555555555553,2240.0/442.30555555555554
3,Australia,9,6,3,0,0,12,1.6703920281896671,LWWWWWLW,"vs ENG, AFG, BAN",2150.0/365.46388888888885,2029.0/470.07499999999993
4,New Zealand,9,6,3,0,0,12,1.0919690172088945,WWLLLWW,"vs PAK, SL",2544.0/427.7111111111111,2192.0/546.6111111111111
6,Afghanistan,9,5,4,0,0,10,1.7057493725645863,LWLWWWWL,"vs NED, AUS, SA",1913.0/392.8111111111111,2248.0/467.3166666666666
7,Sri Lanka,9,3,6,0,0,6,1.937776304176042,LLWWLWLL,"vs IND, BAN, NZ",1824.0/323.30555555555554,1753.0/378.30555555555554
10,England,9,3,6,0,0,6,0.3681191390233707,WLLLLLWW,"vs AUS, NED, PAK",1885.0/398.6111111111111,2236.0/460.6111111111111
5,Pakistan,9,3,6,0,0,6,-0.1255005952888757,LLLLWLL,"vs NZ, ENG",1884/330.5,1869/326.5
8,Netherlands,9,2,7,0,0,4,2.6904389186460573,LWLLWLLL,"vs AFG, ENG, IND",1254/293.0,1619/291.2
9,Bangladesh,9,2,7,0,0,4,1.5666016702897165,LLLLLWL,"vs SL, AUS",1754.0/383.7055555555555,2221.0/415.80555555555554
